"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id"
"2019-02-27","CIS","Nur-Sultan","5","1","leasure","37206","31868"
"2019-03-17","International","Tancah","5","1","business","72253","27836"
"2019-02-28","Western Europe","Hof","1","1","business","15151","22824"
"2019-09-15","Western Europe","London","3","0","business","21631","14806"
"2019-02-16","Russia","Mineralnye Vody","1","1","leasure","2176","24435"
"2019-02-19","Russia","Kazan","2","1","business","5532","5949"
"2019-03-13","CIS","Almaty","2","1","business","12939","8435"
"2019-03-13","Southern Europe","Venice","4","1","business","23083","7013"
"2019-02-20","Russia","Saint Petersburg","1","1","business","3345","5782"
"2019-09-04","International","Las Vegas","1","0","business","1297","19380"
"2019-02-19","Russia","Ukhta","9","1","leasure","25452","29826"
"2019-02-20","Arabia","Dubai","1","1","business","8655","16217"
"2019-02-19","Russia","Volgograd","3","1","business","10131","6579"
"2019-02-19","Russia","Krasnodar","1","1","business","4909","31819"
"2019-03-11","Western Europe","Hamburg","2","1","business","22236","21325"
"2019-03-31","International","Las Vegas","4","0","business","8778","19560"
"2019-02-19","Western Europe","Paris","2","1","business","24434","22905"
"2019-02-18","Russia","Zelenograd","1","0","business","2276","7227"
"2019-02-18","Southern Europe","Milan","2","0","business","44108","32721"
"2019-03-16","Southern Europe","Lisbon","3","1","business","25815","28088"
"2019-03-01","Western Europe","Paris","7","1","leasure","86427","8483"
"2019-03-08","CIS","Yerevan","9","1","leasure","15974","23675"
"2019-03-28","Russia","Astrakhan","1","1","business","4385","5890"
"2019-03-03","International","Itaipu Lake","3","1","business","33007","20927"
"2019-02-19","Russia","Ufa","1","1","business","3535","5963"
"2019-04-08","Russia","Kislovodsk","35","1","leasure","65999","10150"
"2019-02-21","International","Windhoek","4","1","leasure","21668","30319"
"2019-02-21","International","Windhoek","4","1","leasure","21668","30319"
"2019-02-21","International","Windhoek","4","1","leasure","21668","30319"
"2019-02-18","Russia","Tuapse","1","1","business","1933","31819"
"2019-03-12","Southern Europe","Mellieha","4","1","leasure","19864","19043"
"2019-02-20","Southern Europe","Belgrade","3","1","business","20518","22349"
"2019-02-21","Russia","Rostov-on-Don","1","1","business","2634","12835"
"2019-02-18","International","Istanbul","2","1","business","14459","16294"
"2019-02-19","CIS","Baku","4","1","business","23805","26582"
"2019-02-19","Arabia","Medina","1","1","business","3699","19560"
"2019-02-20","International","Istanbul","2","1","business","15352","20784"
"2019-02-18","Russia","Saint Petersburg","2","0","leasure","8481","6579"
"2019-02-22","Western Europe","Amsterdam","3","0","leasure","35357","21769"
"2019-02-21","International","Pisek","1","1","business","4945","28396"
"2019-06-05","Southern Europe","Bari","3","1","business","25225","5860"
"2019-02-26","Russia","Vladivostok","3","0","business","8582","27775"
"2019-11-17","International","Buenos Aires","3","1","business","41230","31304"
"2019-09-26","Western Europe","Dunboyne","1","1","business","12892","22707"
"2019-04-09","International","Prague","4","1","leasure","234189","24149"
"2019-03-07","Southern Europe","Florence","2","1","business","23335","28396"
"2019-09-01","International","Guangzhou","6","1","leasure","17820","6893"
"2019-02-14","International","New Delhi","2","1","leasure","120197","6095"
"2019-02-20","Western Europe","Amsterdam","2","1","business","19557","14684"
"2019-02-26","Southern Europe","L'Hospitalet de Llobregat","11","1","leasure","200867","8998"
"2019-02-19","Russia","Kaluga","1","1","business","6554","7516"
"2019-02-19","Russia","Moscow","3","1","business","32742","18217"
"2019-03-15","Western Europe","London","2","1","leasure","19586","14684"
"2019-02-18","Russia","Moscow","3","0","business","7588","6703"
"2019-03-07","Southern Europe","Barcelona","13","1","leasure","150808","17368"
"2019-02-15","Russia","Novosibirsk","1","1","business","10672","14684"
"2019-03-11","Southern Europe","Playa de Palma","1","1","business","4230","25203"
"2019-02-19","CIS","Nur-Sultan","1","1","business","3043","14684"
"2019-02-19","Russia","Samara","1","1","business","3950","17038"
"2019-04-13","International","Guangzhou","4","0","business","54613","22905"
"2019-02-19","Russia","Moscow","3","1","business","7648","20592"
"2019-03-02","International","Guangzhou","17","0","leasure","35212","18929"
"2019-02-20","Russia","Ulan-Ude","2","1","business","4653","7516"
"2019-02-16","International","Tbilisi","14","0","leasure","17860","18766"
"2019-05-17","Russia","Livadiya","2","1","leasure","9974","17454"
"2019-05-24","Southern Europe","San Pawl il-Bahar","3","1","leasure","12475","18898"
"2019-02-19","CIS","Minsk","1","1","business","5699","6579"
"2019-02-17","Western Europe","Vienna","1","1","business","5794","14684"
"2019-03-08","International","Istanbul","3","1","leasure","6492","19396"
"2019-03-31","International","Istanbul","6","1","leasure","24386","31914"
"2019-02-22","CIS","Mogilev","3","1","leasure","9233","15578"
"2019-02-18","Russia","Vladivostok","3","1","business","7771","14806"
"2019-06-14","Southern Europe","Rome","2","1","leasure","28870","31950"
"2019-02-18","Russia","Novosibirsk","3","1","business","6404","6738"
"2019-02-18","Russia","Kurchatov","1","1","business","6370","16294"
"2019-02-17","International","Santiago","7","1","leasure","44729","18703"
"2019-02-18","Russia","Kurchatov","1","1","business","7754","16294"
"2019-02-25","Russia","Velikiy Ustyug","2","1","business","3095","21468"
"2019-02-22","Southern Europe","Pisa","3","1","leasure","6552","28396"
"2019-03-13","International","Tasmania","2","1","business","90946","20053"
"2019-05-24","Southern Europe","Heraklion","5","1","business","50800","18884"
"2019-02-25","Russia","Krasnoyarsk","2","1","business","11789","14684"
"2019-02-18","Russia","Moscow","4","0","business","9706","14130"
"2019-03-03","International","Woodinville","2","1","business","17709","11539"
"2019-05-04","International","Santa Monica","2","0","leasure","46583","26347"
"2019-02-27","Western Europe","Paris","5","1","business","42474","33826"
"2019-05-15","Southern Europe","Sorrento","7","1","leasure","57772","24313"
"2019-05-04","CIS","Minsk","1","0","leasure","4806","9607"
"2019-04-02","Western Europe","Paris","4","1","business","104119","25203"
"2019-04-22","Western Europe","Garoupe Beach","9","0","leasure","97938","7173"
"2019-02-18","Western Europe","Munich","4","1","business","23138","10663"
"2019-02-16","Russia","Krasnodar","1","1","leasure","2249","15673"
"2019-03-20","Russia","Moscow","3","1","business","10377","6146"
"2019-02-20","Russia","Sochi","1","1","business","11889","9954"
"2019-08-14","International","Rio de Janeiro","17","1","leasure","102722","24034"
"2019-03-20","International","Phuket","7","0","leasure","36835","15041"
"2019-03-16","International","San Francisco","6","0","leasure","359758","32253"
"2019-02-18","Russia","Orenburg","4","1","business","19719","21468"
"2019-05-02","International","Cuzco","3","1","leasure","17749","22732"
"2019-03-21","International","Boston","4","0","leasure","32524","19560"
"2019-02-15","International","Phuket","1","1","business","11510","20052"
"2019-02-17","Russia","Komsomolsk-on-Amur","3","1","business","12185","7749"
"2019-03-15","International","Darby","2","1","leasure","20045","16170"
"2019-03-13","Southern Europe","Lisbon","2","0","business","6699","6109"
"2019-02-20","CIS","Tashkent","2","1","business","15667","15414"
"2019-02-18","International","Hong Kong","3","1","business","22518","16873"
"2019-02-17","Russia","Moscow","1","1","business","3893","19800"
"2019-02-19","Russia","Novy Urengoy","2","1","business","12790","7621"
"2019-02-19","Russia","Chelyabinsk","1","1","business","2248","23082"
"2019-02-21","International","Znojmo","7","1","leasure","48473","8415"
"2019-03-08","Arabia","Dubai","8","1","leasure","182168","29820"
"2019-02-23","Southern Europe","Rimini","7","1","leasure","21419","6675"
"2019-02-18","Russia","Voronezh","1","1","business","3961","11539"
"2019-02-17","Russia","Rostov-on-Don","2","1","business","19456","7516"
"2019-03-22","Russia","Syktyvkar","7","1","leasure","34827","17138"
"2019-02-17","Russia","Voronezh","1","1","business","3421","21535"
"2019-03-29","Western Europe","Amsterdam","9","0","leasure","107466","12897"
"2019-02-28","Arabia","Cairo","3","1","leasure","19377","5789"
"2019-02-27","Russia","Yekaterinburg","2","1","business","6515","15883"
"2019-03-01","Western Europe","London","7","1","leasure","221665","20784"
"2019-02-21","Russia","Perm","2","0","business","6223","5892"
"2019-02-24","CIS","Minsk","2","1","business","14017","7328"
"2019-02-16","Arabia","Dubai","5","0","business","186582","31304"
"2019-02-15","Russia","Moscow","1","0","leasure","4609","9552"
"2019-03-05","Russia","Omsk","1","1","business","3364","14546"
"2019-08-07","International","Copenhagen","6","0","leasure","37621","17418"
"2019-03-05","International","Prague","10","1","leasure","40136","19053"
"2019-02-16","International","Copenhagen","3","0","business","30286","29100"
"2019-02-27","Russia","Belgorod","1","1","business","3632","14684"
"2019-02-16","Western Europe","Amsterdam","1","1","leasure","15030","32942"
"2019-05-07","International","Prague","4","1","business","49387","21587"
"2019-05-07","International","Prague","4","1","business","39753","21587"
"2019-02-21","Russia","Saint Petersburg","2","1","business","10153","22888"
"2019-06-13","Southern Europe","Syracuse","7","1","leasure","43791","19022"
"2019-02-18","Russia","Kazan","1","1","business","4983","32561"
