"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id","partner_geo"
"2019-04-26","Russia","Kazan","2","0","leasure","6773","21468","Russia"
"2019-04-24","Western Europe","Rostock","2","1","business","20098","36306","Russia"
"2019-04-16","Russia","Volzhskiy","2","1","business","4474","6261","Russia"
"2019-04-17","Russia","Kokhma","8","1","leasure","17677","16301","Russia"
"2019-05-16","Arabia","Mecca","4","0","leasure","27718","6269","Russia"
"2019-04-19","Western Europe","Paris","2","1","leasure","16570","35574","Russia"
"2019-04-18","Arabia","Amman","4","1","leasure","30190","18810","International"
"2019-05-02","International","Waikiki Beach","5","0","leasure","59187","6349","Russia"
"2019-04-28","Western Europe","Manchester","1","1","leasure","16548","6109","Russia"
"2019-04-18","CIS","Baku","1","1","business","7130","6268","Russia"
"2019-04-24","Western Europe","London","3","1","business","37854","9760","Russia"
"2019-08-11","International","Istanbul","4","1","leasure","20041","24738","CIS"
"2019-04-28","Russia","Moscow","6","1","leasure","27227","20860","Russia"
"2019-04-18","Russia","Khimki","1","1","business","4355","6268","Russia"
"2019-04-22","Russia","Norilsk","4","1","business","23468","16516","Russia"
"2019-05-17","Russia","Moscow","2","1","leasure","8589","12269","Russia"
"2019-05-25","Western Europe","Vienna","3","1","business","76586","18744","Arabia"
"2019-05-17","International","New York","4","0","business","10314","31191","International"
"2019-04-28","International","Istanbul","6","1","leasure","60071","23283","Baltic States"
"2019-04-24","Western Europe","Amsterdam","3","1","business","43135","18074","CIS"
"2019-06-26","International","Tokyo","5","1","business","35374","18303","International"
"2019-04-16","Russia","Saratov","2","1","business","4505","14684","Russia"
"2019-04-17","Russia","Saint Petersburg","2","1","business","7615","14684","Russia"
"2019-04-17","Russia","Klin","1","1","business","2378","14684","Russia"
"2019-05-20","Western Europe","Paris","4","0","business","45065","23336","Russia"
"2019-05-29","Southern Europe","Milan","2","1","leasure","11050","18258","International"
"2019-05-01","Arabia","Dubai","5","0","business","99712","21768","Arabia"
"2019-04-17","Russia","Saint Petersburg","3","1","business","17776","26582","Russia"
"2019-04-22","Russia","Sochi","1","1","business","10450","23082","Russia"
"2019-06-04","International","Budapest","3","1","business","6638","20843","International"
"2019-05-11","Southern Europe","Milan","6","1","leasure","39922","23336","Russia"
"2019-05-14","CIS","Almaty","4","1","business","25882","6683","Russia"
"2019-04-16","Russia","Naberezhnye Chelny","1","1","business","3270","5892","Russia"
"2019-08-09","International","Whistler","1","0","business","11498","32671","International"
"2019-04-18","International","Tel Aviv","6","1","leasure","54571","25203","CIS"
"2019-05-20","Western Europe","London","30","1","leasure","238305","7319","CIS"
"2019-04-18","Southern Europe","Belgrade","1","1","business","6816","24815","Western Europe"
"2019-04-17","Russia","Ufa","2","1","business","4722","5892","Russia"
"2019-04-28","Russia","Moscow","2","1","business","63743","5892","Russia"
"2019-07-28","International","Orlando","2","0","business","9709","19184","Arabia"
"2019-12-30","International","Singapore","1","1","business","9321","16170","International"
"2019-04-27","International","Bangkok","3","1","leasure","15878","32968","International"
"2019-05-06","Western Europe","Dortmund","5","1","business","55314","21614","CIS"
"2019-05-02","Southern Europe","Rome","1","0","business","3533","28520","International"
"2019-04-28","International","Lembongan Island","2","1","business","21519","32634","Western Europe"
"2019-04-24","Western Europe","Paris","24","1","leasure","765253","23459","Russia"
"2019-05-31","CIS","Odessa","3","1","leasure","15352","12440","International"
"2019-05-04","Southern Europe","Venice","1","1","leasure","101555","27537","Balkans"
"2019-04-21","Southern Europe","Bari","1","1","business","3213","37197","International"
"2019-05-19","Southern Europe","Heraklion","7","1","leasure","30264","37511","Russia"
"2019-04-17","Southern Europe","Florence","1","1","business","23591","14269","Russia"
"2019-06-25","Russia","Sochi","3","1","business","23006","26077","Russia"
"2019-04-16","Russia","Samara","3","1","business","8410","5793","Russia"
"2019-04-15","International","Singapore","1","0","business","7874","28396","Russia"
"2019-05-18","Southern Europe","Albufeira","9","0","leasure","26086","30660","Russia"
"2019-04-17","Russia","Moscow","1","1","business","5909","13921","CIS"
"2019-06-10","Western Europe","Dublin","7","0","leasure","58264","10251","Russia"
"2019-04-15","Southern Europe","Valletta","6","1","leasure","69787","19479","Baltic States"
"2019-05-13","Western Europe","Clermont-Ferrand","1","1","business","7256","30797","Visegrad Group"
"2019-04-26","Western Europe","Amsterdam","2","0","leasure","33389","21734","Russia"
"2019-04-17","Russia","Ufa","1","1","business","9487","6134","Russia"
"2019-04-30","Russia","Moscow","1","0","business","4905","28396","Russia"
"2019-04-27","Western Europe","Paris","7","0","leasure","98889","21734","Russia"
"2019-04-30","Arabia","Dubai","3","1","business","33527","35074","Russia"
"2019-04-17","International","Bangkok","1","1","leasure","7009","28396","Russia"
"2019-07-21","Western Europe","Frankfurt","4","1","business","14774","24555","CIS"
"2020-04-06","International","Puerto Aventuras","7","0","leasure","28928","32990","International"
"2019-05-03","Southern Europe","Abano Terme","12","1","leasure","329739","9404","Russia"
"2019-04-25","Russia","Moscow","1","1","business","4601","22973","Russia"
"2019-04-16","Russia","Moscow","3","1","business","25907","23402","Russia"
"2019-04-27","Western Europe","Paris","7","1","leasure","144438","6134","Russia"
"2019-04-23","International","Phuket","6","0","leasure","8279","16500","Russia"
"2019-05-04","International","Penang","2","1","leasure","15480","15231","International"
"2019-04-22","Russia","Perm","2","1","business","6177","6144","Russia"
"2019-05-14","Russia","Volgograd","2","1","business","6525","21535","Russia"
"2019-06-13","Russia","Saint Petersburg","6","1","leasure","90650","17533","CIS"
"2019-04-23","Russia","Astrakhan","3","1","business","8100","24813","Russia"
"2019-05-14","International","Tallinn","1","0","business","699","6909","Russia"
"2019-04-23","Russia","Nizhniy Novgorod","2","1","business","6166","15883","Russia"
"2019-09-18","Southern Europe","Ljubljana","3","1","business","14322","25550","Visegrad Group"
"2019-05-06","Western Europe","Berlin","1","0","business","6005","28396","Russia"
"2019-04-17","Russia","Saint Petersburg","3","1","business","13828","687","Russia"
"2019-06-24","International","Istanbul","3","1","business","13498","36745","CIS"
"2019-08-12","International","Metabetchouan","3","0","leasure","24062","33476","Western Europe"
"2019-06-29","Russia","Khimki","1","1","leasure","2395","18144","Russia"
"2019-11-10","Arabia","Abu Dhabi","5","0","business","44193","17430","Russia"
"2019-06-21","International","Copenhagen","3","1","leasure","60846","26954","Visegrad Group"
"2019-09-15","International","Melbourne","3","0","leasure","23485","33346","Russia"
"2019-06-21","Western Europe","Amsterdam","2","1","leasure","71391","18359","Baltic States"
"2019-05-09","Southern Europe","Rome","3","0","leasure","16417","34841","International"
"2019-06-18","International","Macka","5","1","business","14806","21768","Arabia"
"2019-04-23","Western Europe","London","3","1","business","41551","6690","Russia"
"2019-06-20","Southern Europe","Venice","2","1","business","17829","13645","Russia"
"2019-06-10","Western Europe","Paris","5","1","business","57617","15959","International"
"2019-07-15","Western Europe","Amsterdam","10","0","leasure","87626","23403","Russia"
"2019-08-09","Russia","Saint Petersburg","2","1","leasure","8572","18238","Russia"
"2019-11-01","International","Ko Chang","6","1","leasure","30842","6109","Russia"
"2019-07-11","Russia","Vladimir","1","1","business","6211","8512","Russia"
"2019-04-17","Southern Europe","Milazzo","1","1","business","4144","29356","Southern Europe"
"2019-07-17","Southern Europe","Pesaro","7","1","leasure","49578","29356","Southern Europe"
"2019-05-06","International","Shanghai","16","0","leasure","62299","29356","Southern Europe"
"2019-04-20","Southern Europe","Turin","2","1","leasure","15909","29356","Southern Europe"
"2019-07-13","Western Europe","Cologne","1","1","leasure","11377","6983","Russia"
"2019-04-19","CIS","Baku","7","1","leasure","25305","29483","Russia"
"2019-04-17","Arabia","Dubai","1","1","business","6295","32769","Arabia"
"2019-04-16","Western Europe","Linz","2","0","business","18170","6268","Russia"
"2019-04-15","Russia","Volgograd","4","1","business","6427","6186","Russia"
"2019-04-21","Southern Europe","Nicosia","1","1","business","15954","21468","Russia"
"2019-06-18","Southern Europe","Palermo","4","1","leasure","33572","6349","Russia"
"2019-04-16","Arabia","Dubai","1","0","business","15930","27477","Arabia"
"2019-04-18","Russia","Novosibirsk","2","1","business","3330","25942","Russia"
"2019-04-23","Russia","Belgorod","1","1","business","3722","7132","Russia"
"2019-04-20","International","Shenzhen","2","0","leasure","13087","17088","Russia"
"2019-04-17","Russia","Reutov","1","1","business","2749","16741","Russia"
"2019-05-22","Western Europe","Paris","6","1","leasure","126852","18254","International"
"2019-04-24","Western Europe","London","3","1","business","39208","9760","Russia"
"2019-04-16","Russia","Moscow","2","1","business","9336","5817","Russia"
"2019-04-26","Western Europe","Tuttlingen","4","1","business","31419","31562","International"
"2019-04-24","Russia","Izhevsk","3","0","business","7846","30637","Russia"
"2019-07-06","Southern Europe","Madrid","2","0","leasure","12576","29356","Southern Europe"
"2019-07-11","Western Europe","Toulouse","1","0","leasure","3562","29356","Southern Europe"
"2019-04-16","Southern Europe","Florence","1","1","business","5016","29356","Southern Europe"
"2019-07-27","Southern Europe","Skirama Dolomiti Adamello Brenta","7","1","leasure","57678","29356","Southern Europe"
"2019-05-20","Southern Europe","Rome","7","0","leasure","49713","35701","Russia"
"2019-05-02","Russia","Vyborg","2","1","leasure","25671","17454","Russia"
"2019-05-12","Western Europe","Manchester","5","1","business","74659","32125","International"
"2019-04-15","Russia","Izhevsk","1","1","business","2114","5843","Russia"
"2019-07-03","Southern Europe","Castel Gandolfo","1","0","leasure","6355","24077","Russia"
"2019-04-22","Russia","Moscow","1","1","business","3067","16907","Russia"
"2019-05-12","Southern Europe","San Pawl il-Bahar","7","1","leasure","60077","20853","Baltic States"
"2019-05-11","International","Panama","15","1","leasure","42048","6180","Russia"
